coin_id,symbol,name,status,details
bitcoin,BTC,Bitcoin,accepted,
ethereum,ETH,Ethereum,accepted,
ripple,XRP,XRP,accepted,
binancecoin,BNB,BNB,accepted,
solana,SOL,Solana,accepted,
tron,TRX,TRON,accepted,
dogecoin,DOGE,Dogecoin,accepted,
whitebit,WBT,WhiteBIT Coin,accepted,
leo-token,LEO,LEO Token,accepted,
hyperliquid,HYPE,Hyperliquid,accepted,
cardano,ADA,Cardano,accepted,
bitcoin-cash,BCH,Bitcoin Cash,accepted,
memecore,M,MemeCore,accepted,
monero,XMR,Monero,accepted,
chainlink,LINK,Chainlink,accepted,
stellar,XLM,Stellar,accepted,
canton-network,CC,Canton,accepted,
zcash,ZEC,Zcash,accepted,
litecoin,LTC,Litecoin,accepted,
avalanche-2,AVAX,Avalanche,accepted,
hedera-hashgraph,HBAR,Hedera,accepted,
sui,SUI,Sui,accepted,
rain,RAIN,Rain,accepted,
shiba-inu,SHIB,Shiba Inu,accepted,
the-open-network,TON,Toncoin,accepted,
crypto-com-chain,CRO,Cronos,accepted,
hashnote-usyc,USYC,Circle USYC,excluded,cryptocompare_history: CryptoCompare history failed for USYC: CCCAGG market does not exist for this coin pair (USYC-USD)
world-liberty-financial,WLFI,World Liberty Financial,accepted,
bittensor,TAO,Bittensor,accepted,
polkadot,DOT,Polkadot,accepted,
mantle,MNT,Mantle,excluded,cryptocompare_history: CryptoCompare history failed for MNT: CCCAGG market does not exist for this coin pair (MNT-USD)
uniswap,UNI,Uniswap,accepted,
sky,SKY,Sky,accepted,
near,NEAR,NEAR Protocol,accepted,
okb,OKB,OKB,accepted,
pi-network,PI,Pi Network,accepted,
aster-2,ASTER,Aster,accepted,
htx-dao,HTX,HTX DAO,accepted,
pepe,PEPE,Pepe,accepted,
aave,AAVE,Aave,accepted,
internet-computer,ICP,Internet Computer,accepted,
bitget-token,BGB,Bitget Token,accepted,
ethereum-classic,ETC,Ethereum Classic,accepted,
render-token,RENDER,Render,accepted,
algorand,ALGO,Algorand,accepted,
arbitrum,ARB,Arbitrum,accepted,
filecoin,FIL,Filecoin,accepted,
vechain,VET,VeChain,accepted,
tezos,XTZ,Tezos,accepted,
injective-protocol,INJ,Injective,accepted,
the-graph,GRT,The Graph,accepted,
optimism,OP,Optimism,accepted,
theta-token,THETA,Theta Network,accepted,
neo,NEO,NEO,accepted,
axie-infinity,AXS,Axie Infinity,accepted,
decentraland,MANA,Decentraland,accepted,
immutable-x,IMX,Immutable,accepted,
eos,EOS,EOS,accepted,
maker,MKR,Maker,accepted,
fantom,FTM,Fantom,accepted,
